valence,anger,disgust,fear,joy,sadness,surprise,headline
-98,22,2,60,0,64,0,Mortar assault leaves at least 18 dead
87,0,0,0,93,0,38,Goal delight for Sheva
31,18,0,52,66,20,65,Nigeria hostage feared dead is freed
-100,66,39,94,0,86,0,Bombers kill shoppers
-9,0,0,25,26,2,46,"Vegetables, not fruit, slow brain decline"
38,0,0,0,34,0,28,PM: Havana deal a good experiment
66,0,0,0,71,0,41,Kate is marrying Doherty
19,0,0,0,23,0,32,NASA revisiting life on Mars question
75,0,0,0,71,0,3,"Happy birthday, iPod"
49,0,0,0,61,24,0,Alonso would be happy to retire with three titles
43,0,0,0,63,0,0,Madonna's New Tot 'Happy at Home' in London
-21,14,0,20,0,28,16,Nicole Kidman asks dad to help stop husband's drinking
26,0,0,0,63,0,6,United Finds Good Connection in Win
18,0,3,0,22,0,6,'Runway': Making Good Without Making Nice
-8,42,30,25,23,81,45,"We were 'arrogant and stupid' over Iraq, says US diplomat"
-14,9,3,0,15,25,3,Bad reasons to be good
1,0,0,2,9,7,62,Madonna's new baby's daddy didn't realize adoption was `for good'
3,19,19,23,24,26,11,Women in their 60s 'are perfectly good mothers'
12,0,0,0,13,0,0,We're a pretty kind 'bully'
40,0,4,26,52,9,16,Moderate drinking reduces men's heart attack risk
48,0,0,0,60,0,10,Tom Cruise and Katie Holmes set wedding date
8,30,28,50,49,31,37,Kidnapped AP photographer freed in Gaza
-51,34,52,46,6,39,0,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory"
-1,0,0,34,33,0,37,Hurricane Paul Weakens To Tropical Storm
-57,42,40,39,0,41,16,UK announces immigration restrictions
66,0,0,28,84,13,63,Three found alive from missing Russian ship -report
-35,0,8,23,0,26,0,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes
41,14,11,7,67,21,0,Injured Marathon Winner Leaves Hospital
3,21,14,12,25,0,52,Hacker unlocks Apple music download protection
-68,61,51,65,0,52,21,Spanish journalist seized in Gaza
-10,12,6,0,0,0,16,Sudan urges UN to replace its special envoy
34,0,0,0,45,0,15,Resolution approved for international games
25,0,0,0,43,0,32,Pair of Satellites Will Document Sun in 3-D
-5,5,0,0,3,5,36,Martian Life Could Have Evaded Detection by Viking Landers
65,0,0,0,83,0,0,The sweet tune of an anniversary
-11,11,0,6,0,10,41,Did Viking Probes Miss Life on Mars?
-5,45,44,0,14,18,26,Diplomat acknowledges US arrogance in Iraq
-64,39,22,6,0,68,27,More Human Remains Found at Ground Zero
-35,31,39,67,0,33,0,How to Prevent Iraq From Getting Even Worse
-37,25,0,32,0,32,7,Tensions as Hungary marks uprising
-27,0,13,23,0,9,3,Stanford study warns of Internet addiction
-12,0,0,0,0,16,10,No evidence of ice reserves on the moon
0,0,0,0,0,0,0,A Picture and A Thousand Words
-44,6,6,33,6,88,0,Parachutist dies at bridge-jump festival
-79,46,39,41,0,77,0,US Troops Killed In October In Iraq
-22,15,0,5,0,21,0,"Chefs not counting calories, study finds"
-52,34,0,48,0,71,0,Deaths linked to flu vaccine
0,0,0,5,34,16,6,Perfect lives lose their focus
-48,1,5,55,0,42,23,Bread-Heavy Diet Linked to Kidney Cancer
7,0,0,8,32,28,0,Beating poverty in a small way
-44,39,31,4,0,33,0,Israel insists on Lebanon overflights
-11,7,8,7,0,4,0,Britain to restrict immigrants from new EU members
-10,3,0,0,0,0,16,Confusion Reigns In the Expanding Digital World
59,0,0,0,70,0,6,Game on! London exhibition celebrates the history of video games
39,0,0,10,63,16,0,Making peace from victory over poverty
-58,24,0,44,0,50,0,Marine killed in fighting west of Baghdad
18,0,0,0,17,0,17,Scientists create first cloaking device
15,0,0,0,12,0,9,Amateur rocket scientists reach for space
-18,6,0,6,0,6,19,Confusion Reigns In the Expanding Digital World
-61,37,9,57,0,66,21,Deaths linked to flu vaccine
-68,54,47,6,0,59,16,Israel admits using phosphorous shells in Lebanon
-66,39,0,56,0,57,0,4th person dies after receiving flu shot
-75,45,38,75,0,53,0,Police and shoppers targeted in growing Iraq violence
16,0,0,3,21,0,47,Scientists discover miracle in the depths
-12,0,0,0,9,16,12,Doctors Seeing Patients Who Think They're Internet Addicted
27,0,0,0,30,0,6,China launches two satellites into orbit
22,0,0,5,24,0,25,Vegetables May Boost Brain Power in Older Adults
-43,0,0,68,0,23,6,Hurricane Paul nears Category 3 status
-68,5,0,60,0,71,0,"Russian ship sinks, 18-member crew missing"
-1,0,1,0,2,0,13,Iran's president urges higher birth rate
20,0,0,0,26,0,6,Apple set for massive market gains
-1,0,0,9,14,24,6,Tumor Types May Explain Survival Rates for Cancer
-18,3,0,16,0,26,20,Routine mission turns into hunt for missing comrade
-36,6,16,2,0,42,0,Bad weather slows S.Korean search for Russian ship
18,8,0,0,54,21,0,Tailors and housewives busy as Muslims celebrate Eid
76,0,0,0,87,0,0,Active peace brings the promise of development
-90,70,74,70,0,51,0,Abbas condemns Israeli massacre in northern Gaza Strip
-69,24,0,16,0,85,0,"Bangladesh ferry sinks, 15 dead"
16,0,0,0,20,0,17,Bucs find a new kick in life
7,0,0,0,10,0,16,Google to unveil election mashup
-71,52,64,50,0,43,0,Police warn of child exploitation online
-27,0,0,31,0,12,0,Breast Cancer Awareness is Important
-42,18,0,16,3,27,0,Hungary police tackle violent protestors
30,0,0,0,44,0,0,Three drivers had reason to be proud in Brazil
-6,25,0,0,27,27,0,Celebrities Protest Malibu Gas Facility
0,0,0,0,0,0,0,Lebo: A life lived on the edge
25,0,0,0,30,0,34,"Presto! He's Batman, then magic man"
-50,0,0,44,0,17,35,"Heavy use of mobile phones can make men infertile, scientists say"
-58,9,0,23,0,66,12,Russian ship sinks in Pacific
74,0,0,0,91,0,0,China Successfully Launches Two Satellites
30,0,0,0,31,0,0,Prestige has magic touch
-57,43,40,10,0,50,0,"Lies, damned lies, and divorce"
31,0,0,0,44,0,0,Manning inspires Giants to victory in Dallas
-64,46,27,31,0,53,4,Riot warning for France suburbs
74,0,0,0,89,0,13,Full recovery expected for marathon winner
-16,6,0,0,0,29,0,Sony apologises for global battery recall
-9,1,0,5,0,5,0,Questions on credit card safety
-12,34,2,18,18,17,0,Budapest calm after night of violent protests
28,0,0,9,38,0,6,Vegetables May Boost Brain Power in Older Adults
-6,25,24,6,21,13,13,Report criticises US press freedoms
-63,6,0,50,0,22,0,French suburb riots could resume
-22,47,55,0,21,33,3,Photographer kidnapping condemned
-65,55,56,40,0,54,24,Photographer kidnapped in Gaza
31,0,0,0,67,0,15,Baseball: Rogers enjoys his muddied streak
39,0,0,0,62,0,16,"Cultural revolutionary, the iPod is five"
-18,0,2,0,11,3,29,Life on Mars? Maybe We Missed It
42,0,0,5,75,14,57,Three found alive from missing Russian ship -report
13,0,0,29,38,0,0,Moderate drinking reduces men's heart attack risk
71,0,0,0,86,0,0,The sweet tune of an anniversary
-13,12,3,5,0,8,3,Inconvenient truths
-2,4,0,0,0,0,8,Dating difficult for Harry Potter
-19,0,0,0,0,25,0,Students lose their rite of passage
-3,10,7,0,0,10,3,Putin vows to tackle illegal immigration
-58,0,0,66,0,10,0,Ottawa must redefine 'terror'
-23,5,10,22,0,10,0,"Britain to Limit Workers from Romania, Bulgaria"
-23,28,30,0,27,44,0,Top General Optimistic on Iraq
12,8,8,0,36,3,0,Kim Osorio Wins Sexual Harrassment Suit Against The Source
0,0,1,0,2,0,0,Silly and substantial
-6,24,22,0,34,25,0,Official laughs for Borat
-15,9,18,0,0,14,0,Speaker Hastert testifies before panel probing sex scandal
0,0,0,0,0,0,0,On Educating Sexes Separately
46,0,0,0,56,0,17,Tom Cruise and Katie Holmes set wedding date
-3,4,0,2,0,4,24,Martian Life Could Have Evaded Detection by Viking Landers
-57,21,20,84,0,25,0,Ukraine gas deal marred by fears
-21,5,0,0,38,38,0,Marathon victory comes at heavy cost
-42,54,31,3,0,40,3,College tuition continues climbing
